instance,time
0,0.799692
solution,0,2,4,10,11,13,15
instance,time
1,1.360816
solution,3,4,5,7,10,14,15
instance,time
2,0.890999
solution,0,1,5,6,9,13,18
instance,time
3,1.502925
solution,0,1,3,4,5,9,14,18
instance,time
4,1.436683
solution,0,1,3,4,6,7,14,17
instance,time
5,1.957813
solution,2,7,8,11,13,15,16,17
instance,time
6,1.856806
solution,0,2,3,4,6,9,14,19
instance,time
7,0.503002
solution,0,1,2,5,9,13
instance,time
8,0.762048
solution,1,3,9,10,15,19
instance,time
9,0.641652
solution,0,2,9,12,14,16
avg_time,1.1712436
